"","station","year","month","day","hour","date","rain","temp","rhum","msl","wdsp","wddir"
"1","DUBLIN AIRPORT",2017,1,1,0,2017-01-01,0.9,5.3,91,1019.9,12,340
"2","DUBLIN AIRPORT",2017,1,1,1,2017-01-01 01:00:00,0.2,4.9,95,1019.7,8,310
"3","DUBLIN AIRPORT",2017,1,1,2,2017-01-01 02:00:00,0.1,5,92,1019.8,8,310
"4","DUBLIN AIRPORT",2017,1,1,3,2017-01-01 03:00:00,0,4.2,90,1020.2,12,330
"5","DUBLIN AIRPORT",2017,1,1,4,2017-01-01 04:00:00,0,3.6,88,1020.2,11,330
"6","DUBLIN AIRPORT",2017,1,1,5,2017-01-01 05:00:00,0,2.8,89,1020.4,12,330
"7","DUBLIN AIRPORT",2017,1,1,6,2017-01-01 06:00:00,0,1.7,91,1020.4,13,330
"8","DUBLIN AIRPORT",2017,1,1,7,2017-01-01 07:00:00,0,1.6,91,1021,13,330
"9","DUBLIN AIRPORT",2017,1,1,8,2017-01-01 08:00:00,0,2,89,1021.6,13,330
"10","DUBLIN AIRPORT",2017,1,1,9,2017-01-01 09:00:00,0,2.6,84,1022.8,13,340
"11","DUBLIN AIRPORT",2017,1,1,10,2017-01-01 10:00:00,0,3,84,1023.6,11,350
"12","DUBLIN AIRPORT",2017,1,1,11,2017-01-01 11:00:00,0,3.6,80,1024.2,12,350
"13","DUBLIN AIRPORT",2017,1,1,12,2017-01-01 12:00:00,0,4.4,76,1024.5,13,350
"14","DUBLIN AIRPORT",2017,1,1,13,2017-01-01 13:00:00,0,4.9,75,1024.8,16,350
"15","DUBLIN AIRPORT",2017,1,1,14,2017-01-01 14:00:00,0,5.1,73,1024.6,14,360
"16","DUBLIN AIRPORT",2017,1,1,15,2017-01-01 15:00:00,0,4.9,72,1025.5,15,360
"17","DUBLIN AIRPORT",2017,1,1,16,2017-01-01 16:00:00,0,4.7,78,1026,12,350
"18","DUBLIN AIRPORT",2017,1,1,17,2017-01-01 17:00:00,0,4.5,77,1026.8,12,350
"19","DUBLIN AIRPORT",2017,1,1,18,2017-01-01 18:00:00,0,3.9,80,1027.4,11,340
"20","DUBLIN AIRPORT",2017,1,1,19,2017-01-01 19:00:00,0,4.3,77,1028,11,350
"21","DUBLIN AIRPORT",2017,1,1,20,2017-01-01 20:00:00,0,4.1,80,1028.5,10,340
"22","DUBLIN AIRPORT",2017,1,1,21,2017-01-01 21:00:00,0.1,4.7,74,1029.2,15,30
"23","DUBLIN AIRPORT",2017,1,1,22,2017-01-01 22:00:00,0,5.2,76,1029.9,14,30
"24","DUBLIN AIRPORT",2017,1,1,23,2017-01-01 23:00:00,0,5.1,78,1030.4,16,30
"25","DUBLIN AIRPORT",2017,1,2,0,2017-01-02,0,5.1,76,1031.2,15,30
"26","DUBLIN AIRPORT",2017,1,2,1,2017-01-02 01:00:00,0,4.7,76,1031.9,14,20
"27","DUBLIN AIRPORT",2017,1,2,2,2017-01-02 02:00:00,0,4.6,76,1032.1,12,30
"28","DUBLIN AIRPORT",2017,1,2,3,2017-01-02 03:00:00,0,3.6,78,1032.5,10,20
"29","DUBLIN AIRPORT",2017,1,2,4,2017-01-02 04:00:00,0,3.3,74,1032.8,8,20
"30","DUBLIN AIRPORT",2017,1,2,5,2017-01-02 05:00:00,0,1.6,81,1033.5,8,10
"31","DUBLIN AIRPORT",2017,1,2,6,2017-01-02 06:00:00,0,-0.2,86,1033.7,6,360
"32","DUBLIN AIRPORT",2017,1,2,7,2017-01-02 07:00:00,0,0.4,82,1033.9,8,330
"33","DUBLIN AIRPORT",2017,1,2,8,2017-01-02 08:00:00,0,-0.6,85,1034.4,8,320
"34","DUBLIN AIRPORT",2017,1,2,9,2017-01-02 09:00:00,0,-1.5,87,1034.8,7,320
"35","DUBLIN AIRPORT",2017,1,2,10,2017-01-02 10:00:00,0,0.4,82,1034.9,8,320
"36","DUBLIN AIRPORT",2017,1,2,11,2017-01-02 11:00:00,0,1.7,78,1035,8,310
"37","DUBLIN AIRPORT",2017,1,2,12,2017-01-02 12:00:00,0,3,76,1034.8,8,310
"38","DUBLIN AIRPORT",2017,1,2,13,2017-01-02 13:00:00,0,3.9,77,1034.1,9,310
"39","DUBLIN AIRPORT",2017,1,2,14,2017-01-02 14:00:00,0,4.2,77,1033.9,8,310
"40","DUBLIN AIRPORT",2017,1,2,15,2017-01-02 15:00:00,0,3.9,78,1033.7,9,300
"41","DUBLIN AIRPORT",2017,1,2,16,2017-01-02 16:00:00,0,2.2,84,1033.6,6,280
"42","DUBLIN AIRPORT",2017,1,2,17,2017-01-02 17:00:00,0,1.4,89,1034,8,290
"43","DUBLIN AIRPORT",2017,1,2,18,2017-01-02 18:00:00,0,1.2,89,1033.9,8,260
"44","DUBLIN AIRPORT",2017,1,2,19,2017-01-02 19:00:00,0,0.8,90,1033.6,8,270
"45","DUBLIN AIRPORT",2017,1,2,20,2017-01-02 20:00:00,0,0.2,92,1033.7,9,270
"46","DUBLIN AIRPORT",2017,1,2,21,2017-01-02 21:00:00,0,0.2,90,1033.6,9,260
"47","DUBLIN AIRPORT",2017,1,2,22,2017-01-02 22:00:00,0,0.8,90,1033.8,8,250
"48","DUBLIN AIRPORT",2017,1,2,23,2017-01-02 23:00:00,0,0.6,90,1033.7,10,260
"49","DUBLIN AIRPORT",2017,1,3,0,2017-01-03,0,0.5,90,1033.5,9,250
"50","DUBLIN AIRPORT",2017,1,3,1,2017-01-03 01:00:00,0,0,94,1033.2,9,250
"51","DUBLIN AIRPORT",2017,1,3,2,2017-01-03 02:00:00,0,-0.6,96,1032.7,9,260
"52","DUBLIN AIRPORT",2017,1,3,3,2017-01-03 03:00:00,0,-0.8,96,1032.4,9,250
"53","DUBLIN AIRPORT",2017,1,3,4,2017-01-03 04:00:00,0,-0.9,96,1032.3,9,260
"54","DUBLIN AIRPORT",2017,1,3,5,2017-01-03 05:00:00,0,0.2,96,1031.7,9,270
"55","DUBLIN AIRPORT",2017,1,3,6,2017-01-03 06:00:00,0,0.3,96,1031.7,9,250
"56","DUBLIN AIRPORT",2017,1,3,7,2017-01-03 07:00:00,0,0.7,94,1031,9,250
"57","DUBLIN AIRPORT",2017,1,3,8,2017-01-03 08:00:00,0,1.2,92,1031.3,11,270
"58","DUBLIN AIRPORT",2017,1,3,9,2017-01-03 09:00:00,0,2,91,1031.2,12,260
"59","DUBLIN AIRPORT",2017,1,3,10,2017-01-03 10:00:00,0,2.9,88,1031.1,10,260
"60","DUBLIN AIRPORT",2017,1,3,11,2017-01-03 11:00:00,0,3.3,86,1031.1,11,260
"61","DUBLIN AIRPORT",2017,1,3,12,2017-01-03 12:00:00,0,3.8,85,1030.6,12,260
"62","DUBLIN AIRPORT",2017,1,3,13,2017-01-03 13:00:00,0,4.3,82,1030,14,260
"63","DUBLIN AIRPORT",2017,1,3,14,2017-01-03 14:00:00,0,4.6,82,1029.7,15,260
"64","DUBLIN AIRPORT",2017,1,3,15,2017-01-03 15:00:00,0,4.9,81,1029,14,260
"65","DUBLIN AIRPORT",2017,1,3,16,2017-01-03 16:00:00,0,4.8,81,1028.6,15,260
"66","DUBLIN AIRPORT",2017,1,3,17,2017-01-03 17:00:00,0,4.9,81,1028.5,15,260
"67","DUBLIN AIRPORT",2017,1,3,18,2017-01-03 18:00:00,0,4.8,84,1028.7,14,260
"68","DUBLIN AIRPORT",2017,1,3,19,2017-01-03 19:00:00,0,4.9,86,1028.7,14,260
"69","DUBLIN AIRPORT",2017,1,3,20,2017-01-03 20:00:00,0,4.5,92,1028.7,13,260
"70","DUBLIN AIRPORT",2017,1,3,21,2017-01-03 21:00:00,0,4.8,92,1028.8,14,260
"71","DUBLIN AIRPORT",2017,1,3,22,2017-01-03 22:00:00,0,4.7,92,1029,12,260
"72","DUBLIN AIRPORT",2017,1,3,23,2017-01-03 23:00:00,0,4.6,93,1029.1,11,260
"73","DUBLIN AIRPORT",2017,1,4,0,2017-01-04,0,4.7,95,1028.9,10,270
"74","DUBLIN AIRPORT",2017,1,4,1,2017-01-04 01:00:00,0,4.7,95,1028.5,11,260
"75","DUBLIN AIRPORT",2017,1,4,2,2017-01-04 02:00:00,0,4.6,95,1028.3,12,270
"76","DUBLIN AIRPORT",2017,1,4,3,2017-01-04 03:00:00,0,4.9,92,1028.4,13,270
"77","DUBLIN AIRPORT",2017,1,4,4,2017-01-04 04:00:00,0,5.1,92,1028.6,11,270
"78","DUBLIN AIRPORT",2017,1,4,5,2017-01-04 05:00:00,0,4.6,93,1028.3,11,270
"79","DUBLIN AIRPORT",2017,1,4,6,2017-01-04 06:00:00,0,4.1,97,1028.5,10,260
"80","DUBLIN AIRPORT",2017,1,4,7,2017-01-04 07:00:00,0,4.6,93,1028.6,11,270
"81","DUBLIN AIRPORT",2017,1,4,8,2017-01-04 08:00:00,0,4.9,94,1028.7,11,280
"82","DUBLIN AIRPORT",2017,1,4,9,2017-01-04 09:00:00,0,4.8,95,1029,12,290
"83","DUBLIN AIRPORT",2017,1,4,10,2017-01-04 10:00:00,0,5.1,95,1029.5,12,290
"84","DUBLIN AIRPORT",2017,1,4,11,2017-01-04 11:00:00,0,5.2,98,1029.9,11,290
"85","DUBLIN AIRPORT",2017,1,4,12,2017-01-04 12:00:00,0,5.6,97,1030,10,280
"86","DUBLIN AIRPORT",2017,1,4,13,2017-01-04 13:00:00,0,6.1,95,1029.9,9,280
"87","DUBLIN AIRPORT",2017,1,4,14,2017-01-04 14:00:00,0,6.1,94,1029.4,7,280
"88","DUBLIN AIRPORT",2017,1,4,15,2017-01-04 15:00:00,0,5.6,95,1029.4,6,270
"89","DUBLIN AIRPORT",2017,1,4,16,2017-01-04 16:00:00,0,3.7,95,1029.9,6,290
"90","DUBLIN AIRPORT",2017,1,4,17,2017-01-04 17:00:00,0,2.4,87,1030.5,5,330
"91","DUBLIN AIRPORT",2017,1,4,18,2017-01-04 18:00:00,0,1.8,87,1030.7,6,330
"92","DUBLIN AIRPORT",2017,1,4,19,2017-01-04 19:00:00,0,1.4,91,1031.1,5,330
"93","DUBLIN AIRPORT",2017,1,4,20,2017-01-04 20:00:00,0,0.1,92,1031.4,3,340
"94","DUBLIN AIRPORT",2017,1,4,21,2017-01-04 21:00:00,0,1.1,92,1031.4,3,330
"95","DUBLIN AIRPORT",2017,1,4,22,2017-01-04 22:00:00,0,1.7,93,1031.6,3,340
"96","DUBLIN AIRPORT",2017,1,4,23,2017-01-04 23:00:00,0,2.2,91,1031.9,4,20
"97","DUBLIN AIRPORT",2017,1,5,0,2017-01-05,0,2.7,89,1032,4,40
"98","DUBLIN AIRPORT",2017,1,5,1,2017-01-05 01:00:00,0,2.9,91,1032,3,90
"99","DUBLIN AIRPORT",2017,1,5,2,2017-01-05 02:00:00,0,2.5,93,1031.8,2,110
"100","DUBLIN AIRPORT",2017,1,5,3,2017-01-05 03:00:00,0,2.4,86,1031.8,5,110
"101","DUBLIN AIRPORT",2017,1,5,4,2017-01-05 04:00:00,0,3.6,83,1031.9,5,100
"102","DUBLIN AIRPORT",2017,1,5,5,2017-01-05 05:00:00,0,3.5,86,1031.6,4,160
"103","DUBLIN AIRPORT",2017,1,5,6,2017-01-05 06:00:00,0,4.4,80,1031.4,4,150
"104","DUBLIN AIRPORT",2017,1,5,7,2017-01-05 07:00:00,0,3.9,80,1031.8,5,180
"105","DUBLIN AIRPORT",2017,1,5,8,2017-01-05 08:00:00,0,3.3,81,1031.9,5,160
"106","DUBLIN AIRPORT",2017,1,5,9,2017-01-05 09:00:00,0,4.4,82,1031.9,6,160
"107","DUBLIN AIRPORT",2017,1,5,10,2017-01-05 10:00:00,0,3.7,90,1032.1,5,150
"108","DUBLIN AIRPORT",2017,1,5,11,2017-01-05 11:00:00,0,5.7,82,1032,5,210
