manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
ford,mustang,4.6,1999,8,manual(m5),r,15,22,r,subcompact
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
nissan,altima,2.5,2008,4,auto(av),f,23,31,r,midsize
mercury,mountaineer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv
dodge,ram 1500 pickup 4wd,5.2,1999,8,manual(m5),4,11,16,r,pickup
ford,mustang,3.8,1999,6,manual(m5),r,18,26,r,subcompact
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
ford,explorer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,11,15,e,suv
